id,value,deathSeason,deathEpisode,dead,appearances
 .Ilyn Payne.Eddard Stark.Arthur Dayne.Unnamed Stark men,0,6,3,1,1
 .Ilyn Payne.Eddard Stark.Gerold Hightower,357,6,3,1,1
 .Ilyn Payne.Eddard Stark.Gerold Hightower.Unnamed Stark man,0,6,3,1,1
 .Ilyn Payne.Eddard Stark.Lady,433,1,2,1,2
 .Ilyn Payne.Eddard Stark.Unnamed Lannister man,0,1,5,1,1
 .Ilyn Payne.Eddard Stark.Will,934,1,1,1,1
 .Jaime Lannister,451,0,0,0,43
 .Jaime Lannister.Alton Lannister,448,2,7,1,3
 .Jaime Lannister.Dornish guard,0,5,4,1,1
 .Jaime Lannister.Jory Cassel,127,1,5,1,5
 .Jaime Lannister.Jory Cassel.Unnamed Lannister man,0,1,5,1,1
 .Jaime Lannister.Torrhen Karstark,413,2,7,1,1
 .Jaime Lannister.Olenna Tyrell,870,7,3,1,16
 .Jaime Lannister.Olenna Tyrell.Joffrey Baratheon,34,4,2,1,26
 .Jaime Lannister.Olenna Tyrell.Joffrey Baratheon.Ros,678,3,6,1,14
 .Jaime Lannister.Unnamed Dothraki,0,7,4,1,1
 .Jaqen H'ghar,340,0,0,0,18
 .Jaqen H'ghar.Amory Lorch,485,2,6,1,4
 .Jaqen H'ghar.Amory Lorch.Yoren,951,2,3,1,7
 .Jaqen H'ghar.Amory Lorch.Yoren.Unnamed Lannister men,0,2,3,1,1
 .Jaqen H'ghar.The Tickler,836,2,5,1,2
 .Jaqen H'ghar.The Tickler.Tortured prisoner,844,2,4,1,1
 .Jaqen H'ghar.Unnamed Lannister men,0,2,8,1,1
 .Jon Snow,390,0,0,0,49
 .Jon Snow.Alliser Thorne,833,6,3,1,19
 .Jon Snow.Alliser Thorne.Unnamed Wildlings,0,4,9,1,1
 .Jon Snow.Bowen Marsh,519,6,3,1,10
 .Jon Snow.Captured wight,1011,7,7,1,2
 .Jon Snow.Janos Slynt,723,5,3,1,15
 .Jon Snow.Janos Slynt.Barra,57,2,1,1,2
 .Jon Snow.Karl Tanner,774,4,5,1,4
 .Jon Snow.Karl Tanner.Unnamed Night's Watch,0,4,5,1,1
 .Jon Snow.Karl Tanner.Craster,159,3,4,1,5
 .Jon Snow.Mance Rayder,651,5,1,1,5
 .Jon Snow.Night's Watch betrayers,0,4,5,1,1
 .Jon Snow.Olly,607,6,3,1,17
 .Jon Snow.Olly.Ygritte,950,4,9,1,17
 .Jon Snow.Olly.Ygritte.Guymon,339,4,3,1,1
 .Jon Snow.Olly.Ygritte.Mole's Town citizens,0,4,8,1,1
